latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
-3.81396,105.3683,342.84,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.37,5.3,D,0,sumatra
-3.74385,104.70754,332.46,0.49,0.4,2023-09-01,643,N,VIIRS,n,2,300.87,4.86,D,0,sumatra
-3.74317,104.71194,335.7,0.49,0.4,2023-09-01,643,N,VIIRS,n,2,298.01,4.86,D,0,sumatra
-3.72485,103.7053,340.68,0.44,0.38,2023-09-01,643,N,VIIRS,l,2,312.71,10.37,D,0,sumatra
-3.67818,105.61835,335.29,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,301.64,39.77,D,0,sumatra
-3.65541,105.5844,332.97,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,300.7,4.04,D,0,sumatra
-3.62854,104.90464,331.27,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,300.26,2.67,D,0,sumatra
-3.62788,104.9067,330.52,0.5,0.41,2023-09-01,643,N,VIIRS,l,2,301.11,3.05,D,0,sumatra
-3.61,105.29121,338.27,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,301.17,6.64,D,0,sumatra
-3.60689,105.28586,332.25,0.53,0.42,2023-09-01,643,N,VIIRS,l,2,302.33,5.35,D,0,sumatra
-3.60614,105.29061,337.7,0.53,0.42,2023-09-01,643,N,VIIRS,n,2,302.68,5.35,D,0,sumatra
-3.60216,103.98632,338.64,0.45,0.39,2023-09-01,643,N,VIIRS,n,2,305.37,8.72,D,0,sumatra
-3.54733,104.90359,334.05,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,302.16,3.7,D,0,sumatra
-3.53763,104.91607,336.84,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,305.1,36.86,D,0,sumatra
-3.53458,104.91096,357.03,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,304.16,32.46,D,0,sumatra
-3.5292,105.64844,330.28,0.55,0.43,2023-09-01,643,N,VIIRS,n,2,300.35,3.77,D,0,sumatra
-3.46917,104.83714,340.65,0.5,0.41,2023-09-01,643,N,VIIRS,n,2,300.86,12.66,D,0,sumatra
-3.3856,105.41885,335.05,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,297.77,5.53,D,0,sumatra
-3.38171,105.41826,337.17,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,304.35,5.53,D,0,sumatra
-3.38017,105.42801,345.26,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,302.93,10.14,D,0,sumatra
-3.3794,105.43289,352.3,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,303.68,10.58,D,0,sumatra
-3.3755,105.43228,349.72,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,309.23,21.09,D,0,sumatra
-3.37237,105.4268,333.91,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,300.12,11.74,D,0,sumatra
-3.3716,105.43168,336.16,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,301.28,21.09,D,0,sumatra
-3.36377,105.40553,336.86,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,301.22,5.51,D,0,sumatra
-3.35987,105.40493,343.1,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,301.79,5.51,D,0,sumatra
-3.3591,105.40979,338.09,0.54,0.42,2023-09-01,643,N,VIIRS,n,2,299.09,7.41,D,0,sumatra
-3.76824,102.27499,336.28,0.4,0.37,2023-09-01,644,N,VIIRS,n,2,303.14,4.17,D,0,sumatra
-3.72159,102.71642,334.86,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,303.81,3.47,D,0,sumatra
-3.61179,102.86633,331.47,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,302.04,2.33,D,0,sumatra
-3.58553,103.3262,333.81,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,304.72,2.4,D,0,sumatra
-3.57122,103.13328,334.5,0.42,0.38,2023-09-01,644,N,VIIRS,l,2,304.94,3.05,D,0,sumatra
-3.53026,103.16955,332.57,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,301.37,1.93,D,0,sumatra
-3.50492,103.12704,334.53,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,304.08,2.43,D,0,sumatra
-3.49978,103.36779,331.38,0.43,0.38,2023-09-01,644,N,VIIRS,l,2,304.23,2.18,D,0,sumatra
-3.4941,103.06002,338.44,0.42,0.37,2023-09-01,644,N,VIIRS,n,2,308.64,7.37,D,0,sumatra
-3.48763,102.99425,335.31,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,306.44,3.03,D,0,sumatra
-3.4803,102.24069,334.98,0.4,0.37,2023-09-01,644,N,VIIRS,n,2,298.06,2.47,D,0,sumatra
-3.44746,103.25857,343.5,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,306.79,12.99,D,0,sumatra
-3.43829,102.88003,335.15,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,303.01,4.97,D,0,sumatra
-3.43826,104.61048,334.39,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,300.74,3.36,D,0,sumatra
-3.43529,103.24501,331,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,305.07,2.52,D,0,sumatra
-3.42651,103.32595,331.78,0.43,0.38,2023-09-01,644,N,VIIRS,n,2,304.06,2.5,D,0,sumatra
-3.42566,102.08023,331.51,0.39,0.36,2023-09-01,644,N,VIIRS,n,2,298.9,3.58,D,0,sumatra
-3.42137,104.62139,338.88,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,302.86,13.75,D,0,sumatra
-3.41629,104.6296,337.09,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,302.94,9.54,D,0,sumatra
-3.41561,104.63398,333.21,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,302.14,5.85,D,0,sumatra
-3.41424,104.64279,338.64,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,304.55,5.06,D,0,sumatra
-3.41052,104.64222,337.7,0.49,0.4,2023-09-01,644,N,VIIRS,n,2,305.24,5.06,D,0,sumatra
-3.39364,103.44727,336.08,0.43,0.38,2023-09-01,644,N,VIIRS,l,2,307.98,3.07,D,0,sumatra
-3.39121,102.95691,336.06,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,303.92,3.76,D,0,sumatra
-3.38908,102.95615,335.64,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,302.09,4.28,D,0,sumatra
-3.37737,103.41311,345.84,0.43,0.38,2023-09-01,644,N,VIIRS,n,2,303.71,4.01,D,0,sumatra
-3.366,103.32461,330.49,0.43,0.38,2023-09-01,644,N,VIIRS,n,2,304.4,1.75,D,0,sumatra
-3.35784,105.05578,346.16,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,303.41,9.65,D,0,sumatra
-3.35721,102.50291,334.88,0.4,0.37,2023-09-01,644,N,VIIRS,n,2,300.95,3.37,D,0,sumatra
-3.35382,102.50237,334.91,0.4,0.37,2023-09-01,644,N,VIIRS,n,2,297.45,3.37,D,0,sumatra
-3.35166,105.0453,339.61,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,305.29,9.15,D,0,sumatra
-3.34857,105.04008,348.04,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,305.77,9.15,D,0,sumatra
-3.3483,102.71834,343.16,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,301.44,4.03,D,0,sumatra
-3.34784,105.04472,343.18,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,306.22,9.15,D,0,sumatra
-3.34712,105.04938,334.08,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,300.5,7.44,D,0,sumatra
-3.34476,105.03949,346.14,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,302.08,19.06,D,0,sumatra
-3.34095,105.03892,367,0.51,0.41,2023-09-01,644,N,VIIRS,h,2,303.04,19.06,D,0,sumatra
-3.34035,103.25381,334.04,0.42,0.38,2023-09-01,644,N,VIIRS,n,2,304.38,2.36,D,0,sumatra
-3.33786,105.03369,343.32,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,297.97,19.06,D,0,sumatra
-3.33641,105.04298,344.23,0.52,0.41,2023-09-01,644,N,VIIRS,n,2,293.33,46.53,D,0,sumatra
-3.33478,105.02847,337.63,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,298.9,19.06,D,0,sumatra
-3.33405,105.0331,355.49,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,305.58,19.06,D,0,sumatra
-3.33333,105.03774,352.36,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,304.68,46.53,D,0,sumatra
-3.33121,102.73852,333.84,0.41,0.37,2023-09-01,644,N,VIIRS,n,2,301.77,2.45,D,0,sumatra
-3.33024,105.03252,355.31,0.51,0.41,2023-09-01,644,N,VIIRS,n,2,305.89,58.86,D,0,sumatra
-3.32531,103.82127,332.91,0.45,0.39,2023-09-01,644,N,VIIRS,n,2,303.22,3.65,D,0,sumatra
