date,time,wind_speed_kmh,wind_direction_degrees
2025-09-21,2025-09-21T10:00,3.1,144
2025-09-21,2025-09-21T11:00,2,207
2025-09-21,2025-09-21T12:00,3.9,227
2025-09-21,2025-09-21T13:00,5.9,223
2025-09-21,2025-09-21T14:00,6.2,229
2025-09-21,2025-09-21T15:00,6.6,229
2025-09-21,2025-09-21T16:00,9.8,211
2025-09-21,2025-09-21T17:00,9,192
2025-09-21,2025-09-21T18:00,7.6,172
2025-09-21,2025-09-21T19:00,9.4,157
2025-09-21,2025-09-21T20:00,3.6,135
2025-09-21,2025-09-21T21:00,6.2,197
2025-09-21,2025-09-21T22:00,1.7,198
2025-09-21,2025-09-21T23:00,1.6,84
2025-09-22,2025-09-22T00:00,4.5,83
2025-09-22,2025-09-22T01:00,4.1,52
2025-09-22,2025-09-22T02:00,2.7,70
2025-09-22,2025-09-22T03:00,1.5,111
2025-09-22,2025-09-22T04:00,1.8,84
2025-09-22,2025-09-22T05:00,1.4,50
2025-09-22,2025-09-22T06:00,0.6,198
2025-09-22,2025-09-22T07:00,4.5,236
2025-09-22,2025-09-22T08:00,5.4,249
2025-09-22,2025-09-22T09:00,6.4,232
2025-09-22,2025-09-22T10:00,8.1,201
2025-09-22,2025-09-22T11:00,4.5,178
2025-09-22,2025-09-22T12:00,4.5,185
2025-09-22,2025-09-22T13:00,9.8,204
2025-09-22,2025-09-22T14:00,11.1,194
2025-09-22,2025-09-22T15:00,6,209
2025-09-22,2025-09-22T16:00,8.9,167
2025-09-22,2025-09-22T17:00,5.2,164
2025-09-22,2025-09-22T18:00,4.7,184
2025-09-22,2025-09-22T19:00,3.8,273
2025-09-22,2025-09-22T20:00,8.3,314
2025-09-22,2025-09-22T21:00,1.8,294
2025-09-22,2025-09-22T22:00,1.9,287
2025-09-22,2025-09-22T23:00,0.7,270
2025-09-23,2025-09-23T00:00,3.8,335
2025-09-23,2025-09-23T01:00,4.4,7
2025-09-23,2025-09-23T02:00,2.9,349
2025-09-23,2025-09-23T03:00,1.3,326
2025-09-23,2025-09-23T04:00,0.4,243
2025-09-23,2025-09-23T05:00,1.1,81
2025-09-23,2025-09-23T06:00,1.9,68
2025-09-23,2025-09-23T07:00,2.6,74
2025-09-23,2025-09-23T08:00,2.7,148
2025-09-23,2025-09-23T09:00,1.4,230
2025-09-23,2025-09-23T10:00,1.3,262
2025-09-23,2025-09-23T11:00,1.8,233
2025-09-23,2025-09-23T12:00,6,209
2025-09-23,2025-09-23T13:00,6.4,227
2025-09-23,2025-09-23T14:00,7,241
2025-09-23,2025-09-23T15:00,8.7,248
2025-09-23,2025-09-23T16:00,8.7,297
2025-09-23,2025-09-23T17:00,8.2,293
2025-09-23,2025-09-23T18:00,9.4,235
2025-09-23,2025-09-23T19:00,5.7,257
2025-09-23,2025-09-23T20:00,5,268
2025-09-23,2025-09-23T21:00,3.9,347
2025-09-23,2025-09-23T22:00,4,342
2025-09-23,2025-09-23T23:00,3.1,347
2025-09-24,2025-09-24T00:00,2.6,321
2025-09-24,2025-09-24T01:00,2.6,326
2025-09-24,2025-09-24T02:00,4,355
2025-09-24,2025-09-24T03:00,1.3,236
2025-09-24,2025-09-24T04:00,4.2,200
2025-09-24,2025-09-24T05:00,1.9,202
2025-09-24,2025-09-24T06:00,0.3,45
2025-09-24,2025-09-24T07:00,4.3,45
2025-09-24,2025-09-24T08:00,2.9,97
2025-09-24,2025-09-24T09:00,3.8,267
2025-09-24,2025-09-24T10:00,3.6,297
2025-09-24,2025-09-24T11:00,5.6,291
2025-09-24,2025-09-24T12:00,6.1,282
2025-09-24,2025-09-24T13:00,8.3,257
2025-09-24,2025-09-24T14:00,12.7,231
2025-09-24,2025-09-24T15:00,8.3,246
2025-09-24,2025-09-24T16:00,6.3,283
2025-09-24,2025-09-24T17:00,8.3,240
2025-09-24,2025-09-24T18:00,9.2,242
2025-09-24,2025-09-24T19:00,10.2,253
2025-09-24,2025-09-24T20:00,10.1,254
2025-09-24,2025-09-24T21:00,9.4,282
2025-09-24,2025-09-24T22:00,7.2,288
2025-09-24,2025-09-24T23:00,3.6,303
2025-09-25,2025-09-25T00:00,3.3,306
2025-09-25,2025-09-25T01:00,2,297
2025-09-25,2025-09-25T02:00,1.5,324
2025-09-25,2025-09-25T03:00,1.5,353
2025-09-25,2025-09-25T04:00,2.5,8
2025-09-25,2025-09-25T05:00,2.8,18
2025-09-25,2025-09-25T06:00,1.1,9
